model,technique,json_degradation_10pct,schema_degradation_10pct,json_degradation_20pct,schema_degradation_20pct,json_degradation_30pct,schema_degradation_30pct,json_pattern,schema_pattern
qwen2.5:1.5b,cot,stable,stable,stable,stable,stable,stable,stable,stable
qwen2.5:1.5b,few_shot,stable,stable,stable,stable,stable,stable,stable,stable
qwen2.5:1.5b,json_schema,stable,1000,stable,1000,stable,stable,stable,collapse
qwen2.5:1.5b,structured,stable,stable,stable,stable,stable,stable,stable,stable
qwen2.5:1.5b,xml,500,200,stable,200,stable,200,stable,recovery
qwen2.5:1.5b,zero_shot,4000,500,stable,500,stable,1000,collapse,collapse
qwen2.5:3b,cot,stable,stable,stable,stable,stable,stable,stable,stable
qwen2.5:3b,few_shot,stable,stable,stable,stable,stable,stable,stable,stable
qwen2.5:3b,json_schema,stable,stable,stable,stable,stable,stable,stable,stable
qwen2.5:3b,structured,stable,stable,stable,stable,stable,stable,stable,stable
qwen2.5:3b,xml,stable,stable,stable,stable,stable,stable,stable,collapse
qwen2.5:3b,zero_shot,stable,stable,stable,stable,stable,stable,stable,stable
qwen2.5:7b,cot,stable,stable,stable,stable,stable,stable,stable,stable
qwen2.5:7b,few_shot,stable,stable,stable,stable,stable,stable,stable,recovery
qwen2.5:7b,json_schema,stable,stable,stable,stable,stable,stable,stable,stable
qwen2.5:7b,structured,stable,stable,stable,stable,stable,stable,recovery,recovery
qwen2.5:7b,xml,stable,stable,stable,stable,stable,stable,stable,stable
qwen2.5:7b,zero_shot,stable,stable,stable,stable,stable,stable,recovery,recovery
